,demand
202211,18098856
202210,22583054
202209,27240453
202208,29002852
202207,26935101
202206,24742633
202205,21336020
202204,19564528
202203,20306324
202202,18720278
202201,21237492
202112,22418337
202111,20251317
202110,21604672
202109,24859626
202108,27525448
202107,28151611
202106,24487080
202105,21315579
202104,19453176
202103,20112752
202102,18109366
202101,20717688
202012,21508274
202011,19992162
202010,23504084
202009,25417910
202008,28729497
202007,26108944
202006,23039762
202005,21208350
202004,18462682
202003,20021543
202002,19437858
202001,21098451
201912,21842980
201911,20346395
201910,21618449
201909,25286898
201908,27881439
201907,26718626
201906,23114302
201905,20381069
201904,19463528
201903,18254381
201902,18528674
201901,20931547
201812,21513856
201811,20787106
201810,22521246
201809,24676800
201808,29375488
201807,28580489
201806,23770522
201805,21963805
201804,20249270
201803,21171498
201802,19473025
201801,21735442
201712,22453946
201711,21073359
201710,23438326
201709,25907813
201708,29151789
201707,29317334
201706,25627273
201705,22977927
201704,20660612
201703,21335364
201702,19863671
201701,22814300
201612,22584799
201611,21301272
201610,22944187
201609,25162873
201608,28501027
201607,28785941
201606,26115849
201605,22667483
201604,21326958
201603,21883968
201602,20093152
201601,21959168
201512,22846372
201511,21049256
201510,24761526
201509,26986018
201508,28618838
201507,27008998
